condition,area,convex_area,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,mean_intensity_w1,max_intensity_w1,min_intensity_w1,1,2,3,4,5
1-deoxygalactonojirimycin 0.003,77.25208550573514,80.62200208550574,0.7196748175957709,9.720123385158956,0.7402019940261911,12.161974121467185,7.931065829566155,0.07418701800739567,31.15651003015752,0.9620771330092034,0.12342529953013053,0.20568249197489114,0.06133891512809488,0.37930135557872785,0.13529718456725756,0.30500521376433787,0.09436913451511991,0.08602711157455684
1-deoxygalactonojirimycin 0.01,77.44411027568923,80.87844611528823,0.7200763076775417,9.745869522115688,0.7438745991345547,12.190104369128909,7.956657739086759,-0.01629572857414719,31.24952515640138,0.9616829242447156,0.12425279035269644,0.21022408963585335,0.061511867905056986,0.38972431077694236,0.1355889724310777,0.28170426065162907,0.09223057644110276,0.10075187969924812
1-deoxygalactonojirimycin 0.03,74.8013078470825,78.09054325955735,0.7272667254974348,9.607219035686787,0.7405583341909094,12.081563153448396,7.799146051624723,-0.06324969743462458,30.786646828892543,0.9616186809522881,0.12213558289826028,0.20519884009941972,0.06079442340316406,0.3722334004024145,0.14512072434607645,0.2950201207243461,0.09507042253521127,0.0925553319919517
1-deoxygalactonojirimycin 0.1,77.59782608695652,80.97455533596838,0.7178316292310437,9.751419437124234,0.7398143942441469,12.171310535283407,7.96949492770318,0.036911326354422444,31.23452421863733,0.9618367430249892,0.125084723097572,0.2125738684801974,0.06139415252266912,0.37870553359683795,0.1358695652173913,0.29026679841897235,0.09288537549407115,0.10227272727272728
1-deoxygalactonojirimycin 0.3,74.93284637134778,78.0928369462771,0.7198311299010905,9.604803734717759,0.7430884996291384,11.992955853266443,7.8389195868585375,0.0007052541919692902,30.70727979493193,0.9622384749130415,0.12381188272757858,0.20798243425551088,0.06178965459888031,0.36545711592836944,0.15103675777568332,0.3124410933081998,0.08294062205466542,0.088124410933082
1-deoxygalactonojirimycin 1.0,74.58257668711657,77.7236809815951,0.731213762392436,9.596022365980962,0.7413039062487283,12.080567815832515,7.764137880479996,0.04975653548603873,30.71828731609644,0.9622994931899799,0.11946324044394709,0.19540599061710445,0.06025237579694451,0.34822085889570553,0.1668711656441718,0.2988957055214724,0.0939877300613497,0.09202453987730061
1-deoxygalactonojirimycin 10.0,77.31147959183673,80.70127551020408,0.7185363457451263,9.742983830132856,0.7402268814122699,12.176809954728954,7.95735440242405,0.014594408321255192,31.240757069438903,0.9610536005899815,0.12161004345465357,0.20635079031612613,0.060917617046818834,0.38112244897959185,0.15255102040816326,0.29081632653061223,0.0826530612244898,0.09285714285714286
1-deoxygalactonojirimycin 3.0,76.65047791268407,79.90906742443813,0.7194539162123993,9.706566079074573,0.7408940064645851,12.120666320572544,7.9247575363356395,0.05288230942704718,31.06409863869385,0.9617330751670762,0.12412175633496043,0.21465776183891153,0.06004199148013633,0.38568845259622836,0.13898217514854042,0.2960475329372255,0.08344097132523895,0.09584086799276673
Aloxistatin 0.003,76.45588235294117,79.73186274509804,0.7277532983523995,9.697773222406774,0.7402975131221635,12.191228784893799,7.865797876190228,-0.043224115344109616,31.103448472009028,0.9616488317437208,0.12426891241578027,0.20783833141099411,0.06167267397154942,0.3588235294117647,0.14558823529411766,0.2977941176470588,0.1036764705882353,0.09411764705882353
Aloxistatin 0.01,74.62035225048923,77.81775929549902,0.7222271799681786,9.59804085057726,0.7433414495824577,12.02293538387312,7.8170204186451056,0.005555736991718716,30.67827105571226,0.9623017576277026,0.124257880491634,0.20854173861325315,0.06140904992133847,0.3767123287671233,0.14579256360078277,0.3101761252446184,0.08610567514677103,0.0812133072407045
