condition,area,convex_area,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,mean_intensity_w1,max_intensity_w1,min_intensity_w1,1,2,3,4,5
(+)-Ephedrine (hydrochloride) 0.01,126.84435261707989,131.5716253443526,0.7388107414700089,12.470201309747585,0.74093360352512,15.841033841404291,10.021019914145933,0.024190640533333006,40.92050093187365,0.963845340750789,0.05765541426664169,0.09643628801382827,0.02633689839572189,0.08677685950413223,0.16666666666666666,0.16666666666666666,0.4118457300275482,0.16804407713498623
(+)-Ephedrine (hydrochloride) 0.03,129.24195624195625,134.51093951093952,0.7618215221226234,12.553278697808004,0.7276899094951319,16.41088376432184,9.855121762235479,-0.1335966608227136,41.785319989294884,0.9602359895712763,0.0610145805734028,0.10322255028137399,0.027751280692456966,0.05662805662805663,0.15572715572715573,0.25096525096525096,0.34234234234234234,0.19433719433719435
(+)-Ephedrine (hydrochloride) 0.1,135.45316804407713,141.0840220385675,0.7652841504916161,12.787633430726961,0.7235228593892623,16.756913482111333,10.029618283039499,-0.03620282942807938,42.704467266632825,0.9587583009618157,0.05856178277907746,0.09752066115702508,0.024898719818505746,0.06336088154269973,0.14049586776859505,0.27823691460055094,0.3402203856749311,0.17768595041322313
(+)-Ephedrine (hydrochloride) 0.3,133.25689223057645,138.9047619047619,0.753685930820423,12.714880207900812,0.7228232263556628,16.654977883676267,9.993847405110477,-0.08029900923349144,42.5371715471215,0.9591899789141877,0.0597792607595189,0.10528895768833878,0.025552852720035404,0.07644110275689223,0.16791979949874686,0.2568922305764411,0.34461152882205515,0.15413533834586465
(+)-Ephedrine (hydrochloride) 1.0,127.31518987341772,132.2607594936709,0.7323116257539893,12.47411973979159,0.7347791362206871,15.834272352353041,10.06420621373857,-0.012116314361813442,41.032149088443674,0.9631392634660912,0.05714454768371271,0.09860387192851827,0.026424671134276396,0.0620253164556962,0.16962025316455695,0.19746835443037974,0.3620253164556962,0.2088607594936709
(+)-Ephedrine (hydrochloride) 3.0,135.65667915106118,141.6729088639201,0.7639994947138995,12.817305320641417,0.7211715670974611,16.929698858108836,10.008053889211656,-0.1091795238156548,43.05176526406645,0.9585830659940673,0.059950641905037676,0.10546743041786043,0.026109519962791653,0.06991260923845194,0.1760299625468165,0.27715355805243447,0.33458177278401996,0.14232209737827714
(+)-cloprostenol 0.01,143.3599458728011,149.1596752368065,0.7575427473048107,13.174801289294235,0.7242763872305151,17.22213287705007,10.357148503734674,-0.1448200608279444,44.03936423278207,0.9603997367074021,0.05230804004374983,0.09353922895274497,0.02082968505399446,0.06765899864682003,0.16508795669824086,0.26116373477672533,0.3166441136671177,0.18944519621109607
(+)-cloprostenol 0.03,148.54788732394366,154.98591549295776,0.7510988277193931,13.353806971708915,0.7259572324422612,17.490730241541716,10.531255308357528,-0.008718645537224403,44.97675936828968,0.9580181029210897,0.051613643550288385,0.09420740127036736,0.02112676056338023,0.07887323943661972,0.13943661971830987,0.252112676056338,0.3676056338028169,0.1619718309859155
(+)-cloprostenol 0.1,140.54461942257217,146.98425196850394,0.7461696618318416,13.067916139325323,0.7252137123438226,16.992428391173174,10.380338331101944,-0.1679482217009628,43.78734937757352,0.9565286127227315,0.05494417043223444,0.09765966754155744,0.022940147187483717,0.06692913385826772,0.17585301837270342,0.24671916010498687,0.33727034120734906,0.1732283464566929
(+)-cloprostenol 0.3,139.15405046480743,145.10225763612218,0.7399304459983096,12.99500526691523,0.7197071153163609,16.702471196789208,10.413216969444381,-0.0032913905709902607,43.292427378173045,0.9573403178479949,0.05150042871409315,0.09527120277061724,0.020818686040153047,0.07569721115537849,0.15670650730411687,0.24833997343957503,0.37715803452855245,0.14209827357237717
(+)-cloprostenol 1.0,137.95910290237467,143.67941952506595,0.7421907445916566,12.932166100985908,0.7229151461183728,16.664577268359615,10.31178667954207,0.07107888413389866,43.02059634475809,0.9599311795550007,0.051847711525678096,0.09364038491386027,0.0207007605152878,0.055408970976253295,0.1662269129287599,0.23878627968337732,0.3720316622691293,0.16754617414248021
(+)-cloprostenol 3.0,140.7641866330391,146.61286254728878,0.7467774519377771,13.06427632399309,0.7202537083849193,17.022243260484014,10.331374159238974,-0.09260951675602787,43.75015660210113,0.9598146267372216,0.05213859404398035,0.09249437479910019,0.020847859951041988,0.07187894073139975,0.1664564943253468,0.2635561160151324,0.3316519546027743,0.1664564943253468
(-)-Huperzine A (HupA) 0.01,133.4433962264151,138.9043126684636,0.7549461255625312,12.72040395066066,0.7277902721482197,16.519130386819725,10.062155639854192,-0.04515452881018596,42.333243412488315,0.9595204084309803,0.05705546554023349,0.09809206701548565,0.023837270757359436,0.06064690026954178,0.15633423180592992,0.23180592991913745,0.353099730458221,0.19811320754716982
