condition,area,convex_area,eccentricity,equivalent_diameter,extent,major_axis_length,minor_axis_length,orientation,perimeter,solidity,mean_intensity_w1,max_intensity_w1,min_intensity_w1,1,2,3,4,5
(+)-Cedrol 0.01,118.6334441,123.3266888,0.737697081,12.05540698,0.731759357,15.38356478,9.683958218,-0.095292515,39.65629533,0.961357375,0.06634738,0.10683126,0.032111915,0.34551495,0.282392027,0.169435216,0.098560354,0.104097453
(+)-Cedrol 0.03,116.3420502,121.2991632,0.742191854,11.93023561,0.729609991,15.34062655,9.527654804,-0.108508644,39.3564868,0.959214767,0.066609697,0.108231807,0.031612519,0.291841004,0.308577406,0.199790795,0.107740586,0.092050209
(+)-Cedrol 0.1,124.0397727,129.2931818,0.755649707,12.30452983,0.726416263,16.04540623,9.710002151,-0.012630939,40.98723946,0.958766279,0.065446444,0.106180927,0.030838904,0.3,0.342045455,0.184090909,0.107954545,0.065909091
(+)-Cedrol 0.3,122.3554779,127.0710956,0.742627199,12.22827182,0.732089585,15.62431665,9.790345426,0.050658195,40.25910926,0.962029809,0.066497344,0.107881987,0.031468531,0.301864802,0.322843823,0.194638695,0.099067599,0.081585082
(+)-Cedrol 1.0,118.1683992,123.0935551,0.737209894,12.02100848,0.724152554,15.44597769,9.626976331,-0.100159316,39.72854298,0.958939042,0.071380617,0.120012433,0.033883657,0.327442827,0.299376299,0.176715177,0.118503119,0.077962578
(+)-Cedrol 3.0,115.7405858,120.3546025,0.743563936,11.92427525,0.727943464,15.27888172,9.542041244,0.042720036,39.22055984,0.960841968,0.068955012,0.113419887,0.032976454,0.291841004,0.322175732,0.192468619,0.118200837,0.075313808
(R)-Citalopram oxalate 0.01,136.6651376,142.6227064,0.753760651,12.87316166,0.721184132,16.78212039,10.18385672,-0.028655967,43.13594089,0.957139606,0.058401705,0.095933396,0.02675841,0.319954128,0.336009174,0.167431193,0.084862385,0.091743119
(R)-Citalopram oxalate 0.03,134.8533627,140.6725469,0.76011036,12.77076489,0.720704657,16.90045392,9.967696048,0.0352612,42.97447436,0.957851318,0.060345613,0.099805435,0.027659597,0.30429989,0.334068357,0.200661521,0.078280044,0.082690187
(R)-Citalopram oxalate 0.1,127.8715486,133.3673469,0.740960854,12.44378048,0.724847667,16.06789516,9.927738809,-0.005771286,41.42294933,0.959548591,0.058627955,0.098065108,0.027287386,0.316926771,0.31452581,0.201680672,0.088835534,0.078031212
(R)-Citalopram oxalate 0.3,131.0971185,136.3906083,0.75014388,12.61539374,0.725089491,16.37894104,9.994845753,0.078527136,42.00430534,0.960880624,0.058572895,0.093965932,0.02755875,0.324439701,0.320170758,0.170757737,0.09284952,0.091782284
(R)-Citalopram oxalate 1.0,128.239083,133.7991266,0.734500112,12.47904035,0.722017255,16.05201908,10.01057966,-0.053048347,41.50911428,0.9574373,0.058439999,0.098327126,0.026499486,0.311135371,0.32860262,0.167030568,0.094978166,0.098253275
(R)-Citalopram oxalate 3.0,136.6153846,142.7919294,0.756824076,12.86880733,0.716923349,16.95876594,10.10844845,-0.004093593,43.3843849,0.955637172,0.057429953,0.09627995,0.025356675,0.298865069,0.35813367,0.175283733,0.081967213,0.085750315
1-Dexoymannojirimycin HCl 0.01,121.6378698,126.2142012,0.734245622,12.20339496,0.732302013,15.36519421,9.88078567,-0.089165424,39.83040636,0.962742214,0.069570063,0.111334262,0.033350737,0.336094675,0.272189349,0.175147929,0.117159763,0.099408284
1-Dexoymannojirimycin HCl 0.03,118.3215548,122.8916372,0.742331211,12.04255499,0.733993836,15.34204171,9.664740656,0.042293592,39.49013156,0.961028871,0.072035475,0.115123906,0.03455738,0.348645465,0.328621908,0.155477032,0.096584217,0.070671378
1-Dexoymannojirimycin HCl 0.1,117.1209677,121.6670507,0.740530435,11.97748964,0.730603934,15.297365,9.594666287,0.003978911,39.33438206,0.961844577,0.070334237,0.118270534,0.033423692,0.300691244,0.320276498,0.176267281,0.10483871,0.097926267
1-Dexoymannojirimycin HCl 0.3,117.6370876,122.152446,0.730630842,12.02263245,0.734444803,15.2326815,9.705394876,0.033132344,39.36682666,0.962280364,0.069858529,0.11126726,0.032998729,0.329920364,0.304891923,0.164960182,0.104664391,0.09556314
1-Dexoymannojirimycin HCl 1.0,120.1990291,124.8859223,0.734689531,12.13179625,0.733918117,15.45623457,9.759127731,0.026357139,39.95022277,0.96129818,0.068872342,0.111893204,0.032538549,0.334951456,0.307038835,0.167475728,0.094660194,0.095873786
1-Dexoymannojirimycin HCl 3.0,118.0957944,122.5642523,0.735888261,11.9859075,0.736969669,15.18298138,9.675099676,-0.035031255,39.19374243,0.961752987,0.072883332,0.117975765,0.035418957,0.311915888,0.302570093,0.192757009,0.101635514,0.091121495
1-Octanol 0.01,121.9194476,126.8515535,0.741522768,12.18085911,0.73242178,15.6778609,9.724452209,-0.043805703,40.27930818,0.960704403,0.061930679,0.103512038,0.028316298,0.344073648,0.304948216,0.173762946,0.094361335,0.082853855
1-Octanol 0.03,126.2520138,131.2796318,0.743824135,12.37604045,0.729880472,15.88773918,9.887557667,-0.035984576,40.88616489,0.960726885,0.061104092,0.104951601,0.028277939,0.310701956,0.318757192,0.191024166,0.098964327,0.080552359
1-Octanol 0.1,120.8099448,125.7160221,0.739073244,12.14064197,0.731085627,15.53516759,9.735758194,0.071047438,40.07249314,0.959351354,0.05975691,0.098536453,0.027394648,0.33480663,0.320441989,0.173480663,0.089502762,0.081767956
1-Octanol 0.3,121.1543062,126.0155502,0.746916673,12.16137983,0.729090947,15.66370255,9.681342439,-0.007458392,40.16504857,0.960579555,0.059533965,0.095193029,0.027903649,0.288277512,0.346889952,0.200956938,0.104066986,0.059808612
1-Octanol 1.0,129.6710214,135.1045131,0.748182192,12.56169657,0.727203932,16.23602597,9.993424494,0.039664917,41.79498422,0.958853186,0.060594259,0.098528247,0.028181035,0.328978622,0.312351544,0.172209026,0.091448931,0.095011876
1-Octanol 3.0,128.0518602,133.5817362,0.755285753,12.49863885,0.719248986,16.25344765,9.885875398,-0.075206392,41.61630012,0.957547106,0.059212299,0.095493733,0.02720229,0.262683202,0.330326945,0.209695603,0.116121759,0.081172492
1-deoxygalactonojirimycin 0.003,134.5026969,140.2621359,0.751787503,12.77288056,0.720890006,16.68344014,10.08301488,0.08960915,42.78391802,0.958545551,0.049329021,0.083207479,0.021512575,0.319309601,0.341963323,0.158576052,0.098166127,0.081984898
1-deoxygalactonojirimycin 0.01,142.5111372,148.4618992,0.755818907,13.15686779,0.720869673,17.24460615,10.34566218,0.059203457,44.19880912,0.960067669,0.047216119,0.080440429,0.020215847,0.27901524,0.335287222,0.187573271,0.112543962,0.085580305
1-deoxygalactonojirimycin 0.03,138.1420883,144.2099031,0.76070574,12.94109356,0.712557086,17.09795939,10.10712836,0.004860966,43.6186957,0.957321209,0.047672614,0.080578948,0.020378227,0.296017223,0.332615716,0.180839612,0.104413348,0.086114101
1-deoxygalactonojirimycin 0.1,136.9159483,142.7920259,0.748762358,12.86270342,0.718150535,16.86932325,10.13938932,-0.0489243,43.21273924,0.957547784,0.04707714,0.080408004,0.020400186,0.313577586,0.348060345,0.161637931,0.110991379,0.065732759
1-deoxygalactonojirimycin 0.3,136.3083605,142.1541802,0.756719192,12.88507867,0.717004499,17.01740839,10.07209272,-0.046069777,43.33272563,0.959107937,0.049056323,0.085636882,0.021088544,0.307274701,0.321389794,0.195439739,0.093376764,0.082519001
1-deoxygalactonojirimycin 1.0,138.9485714,144.7611429,0.745969615,13.01064523,0.719522543,16.9798411,10.29128056,-0.116635274,43.55704537,0.959473515,0.049723929,0.086267787,0.020880672,0.332571429,0.32,0.16,0.08,0.107428571
1-deoxygalactonojirimycin 10.0,137.9769737,144.2379386,0.750112948,12.92558105,0.712839522,16.8890853,10.21826947,-0.001133353,43.41428743,0.956814547,0.048182544,0.081319874,0.020478586,0.293859649,0.353070175,0.172149123,0.095394737,0.085526316
1-deoxygalactonojirimycin 3.0,137.7769145,143.4994451,0.747822302,12.94955372,0.722786617,16.81351559,10.2731814,0.048051332,43.23002365,0.960223802,0.046878912,0.079187613,0.020247655,0.280799112,0.330743618,0.193118757,0.102108768,0.093229745
2-hydroxyethyl-salicylate 0.01,117.6252723,122.5795207,0.740595139,11.98198274,0.726852785,15.37465433,9.60573689,-0.096114047,39.5468633,0.957369168,0.058507349,0.094513862,0.026718356,0.345315904,0.322440087,0.152505447,0.098039216,0.081699346
2-hydroxyethyl-salicylate 0.03,119.6059009,124.6617492,0.7524735,12.08523643,0.718096771,15.62678368,9.604993602,-0.01247294,40.03288581,0.957825052,0.062224816,0.104092027,0.0288632,0.299262381,0.339304531,0.170706006,0.091675448,0.099051633
2-hydroxyethyl-salicylate 0.1,126.7831325,132.1653888,0.741857974,12.4187132,0.727220162,16.04034812,9.904625686,-0.023967167,41.28036354,0.958459919,0.061691204,0.101913536,0.028845865,0.328587076,0.334063527,0.165388828,0.089813801,0.082146769
2-hydroxyethyl-salicylate 0.3,121.25,126.2055336,0.751502274,12.1591177,0.724708346,15.742938,9.639871465,-7.35E-05,40.25713745,0.959146273,0.063026156,0.100003875,0.030245873,0.31027668,0.343873518,0.173913043,0.076086957,0.095849802
2-hydroxyethyl-salicylate 1.0,122.5804661,127.5960044,0.742932736,12.252084,0.728016281,15.71626285,9.804602989,-0.029531177,40.47826975,0.958684429,0.060942688,0.100805206,0.028183282,0.315205327,0.299667037,0.184239734,0.105438402,0.095449501
2-hydroxyethyl-salicylate 3.0,119.3917869,124.2230855,0.73649097,12.08374727,0.730846808,15.39500478,9.726063718,-0.047664072,39.78505346,0.959839847,0.062939511,0.104950926,0.029489021,0.327413984,0.315205327,0.164261931,0.102108768,0.091009989
"3,3,5-Trimethylcyclohexyl salicylate 0.01",130.3445476,135.8155452,0.751416719,12.62023065,0.717507357,16.41464207,9.99639058,0.009491313,42.14580104,0.958362995,0.059960235,0.095954461,0.028213002,0.303944316,0.316705336,0.16937355,0.112529002,0.097447796
"3,3,5-Trimethylcyclohexyl salicylate 0.03",124.4353591,129.4883978,0.737406805,12.25419824,0.724861227,15.7212937,9.820547554,0.042290121,40.56214295,0.95879111,0.057883305,0.095220453,0.026428339,0.280662983,0.35359116,0.174585635,0.099447514,0.091712707
"3,3,5-Trimethylcyclohexyl salicylate 0.1",145.4624506,151.8577075,0.74539877,13.20378911,0.720528973,17.28529309,10.43936833,-0.109904798,44.38385927,0.95752699,0.057285203,0.098013382,0.024941228,0.308300395,0.333333333,0.185770751,0.092226614,0.080368906
"3,3,5-Trimethylcyclohexyl salicylate 0.3",127.6164994,132.7012263,0.73640875,12.40325229,0.730405357,15.89583723,9.939536011,-0.078456056,40.99677353,0.960661891,0.059434248,0.098645813,0.028129713,0.343366778,0.311036789,0.163879599,0.095875139,0.085841695
"3,3,5-Trimethylcyclohexyl salicylate 1.0",129.75058,135.1728538,0.735387418,12.55450047,0.72685748,16.05710661,10.09315743,-0.06645467,41.57463245,0.958718042,0.05729711,0.096857513,0.025781357,0.33062645,0.305104408,0.167053364,0.092807425,0.104408353
"3,3,5-Trimethylcyclohexyl salicylate 3.0",130.0316384,135.5525424,0.745520653,12.59948428,0.723707913,16.33378162,10.00114555,0.038279038,41.94946957,0.95942772,0.060269941,0.098793619,0.028050294,0.301694915,0.316384181,0.17740113,0.115254237,0.089265537
4-Aminohippuric acid 0.01,117.4199785,122.2320086,0.746248481,11.95770394,0.724539755,15.40807181,9.545133433,-0.069360974,39.54743524,0.959247737,0.066138487,0.109945031,0.030422695,0.329752954,0.284640172,0.174006445,0.10311493,0.108485499
4-Aminohippuric acid 0.03,120.6598407,125.8862344,0.743666584,12.1287173,0.724217852,15.72351365,9.639098365,0.041112518,40.32416524,0.959039868,0.071257802,0.116671128,0.033464945,0.332195677,0.312855518,0.185437998,0.086461889,0.083048919
4-Aminohippuric acid 0.1,114.5332661,118.9254032,0.736836903,11.85113117,0.733338839,15.01584218,9.553293089,-0.029082614,38.75205244,0.962596411,0.070163833,0.114138599,0.033496403,0.320564516,0.286290323,0.188508065,0.108870968,0.095766129
4-Aminohippuric acid 0.3,118.0300429,122.7371245,0.742154918,12.00188531,0.730271059,15.39670011,9.591422074,-0.078951743,39.53386561,0.960742361,0.064610171,0.109426281,0.029614786,0.329399142,0.324034335,0.16416309,0.081545064,0.100858369
4-Aminohippuric acid 1.0,120.1763341,125.1438515,0.751045293,12.12071014,0.726510641,15.68521881,9.624171137,-0.028445839,40.12259534,0.959441213,0.065308871,0.102818343,0.031341841,0.30162413,0.324825986,0.191415313,0.088167053,0.093967517
4-Aminohippuric acid 3.0,116.3484513,121.0873894,0.743759592,11.93093133,0.724416631,15.31373001,9.544865381,-0.023465668,39.36997457,0.958751087,0.066570065,0.109019825,0.031749957,0.32300885,0.328539823,0.172566372,0.097345133,0.078539823
4-Aminopyridine 0.01,107.9855716,112.1498335,0.724619939,11.51026637,0.738576773,14.40264209,9.389228268,0.008073854,37.35437655,0.961319133,0.078037857,0.121344476,0.038482296,0.346281909,0.305216426,0.168701443,0.089900111,0.089900111
